Zip,Location,City,Population,Avg-Income
10007,"40.713973, -74.008336","New York, New York",3522,112947
10280,"40.708501, -74.016828","New York, New York",6614,108536
10162,"40.769298, -73.949942","New York, New York",1726,108416
10004,"40.691870, -74.014109","New York, New York",1225,101868
10069,"40.775551, -73.989689","New York, New York",1403,88091
10282,"40.717017, -74.015566","New York, New York",1574,86066
10006,"40.707970, -74.013610","New York, New York",1447,81334
10022,"40.758615, -73.967752","New York, New York",30642,80406
10005,"40.705390, -74.008988","New York, New York",884,79517
10024,"40.786307, -73.970694","New York, New York",61414,78066
10028,"40.776865, -73.954721","New York, New York",44987,77565
10021,"40.769742, -73.961653","New York, New York",102078,75472
10023,"40.775394, -73.982197","New York, New York",62206,72424
10128,"40.781656, -73.950281","New York, New York",59856,70031
10017,"40.752292, -73.972393","New York, New York",16201,69273
10014,"40.733471, -74.007098","New York, New York",32667,66601
10016,"40.744983, -73.978262","New York, New York",51217,66342
10010,"40.739122, -73.982363","New York, New York",26408,62467
10011,"40.741844, -74.000711","New York, New York",46669,61986
10003,"40.731856, -73.989145","New York, New York",53673,60891
10012,"40.725639, -73.998090","New York, New York",26000,58313
10019,"40.766331, -73.985013","New York, New York",36012,55869
10044,"40.762050, -73.949933","New York, New York",9520,49976
10025,"40.797958, -73.964917","New York, New York",97086,49733
10018,"40.754969, -73.992126","New York, New York",4255,48705
10036,"40.759614, -73.991148","New York, New York",18751,41002
10001,"40.750722, -73.997276","New York, New York",17310,40932
10009,"40.726622, -73.978955","New York, New York",58595,40176
10013,"40.720067, -74.004829","New York, New York",25042,38304
10033,"40.849124, -73.935956","New York, New York",58259,31348
10038,"40.709336, -74.002943","New York, New York",15574,31316
10034,"40.869208, -73.921929","New York, New York",41756,29479
10040,"40.858134, -73.929031","New York, New York",46599,27905
10037,"40.813159, -73.937352","New York, New York",16984,26561
10032,"40.839194, -73.942591","New York, New York",63842,26237
10031,"40.825857, -73.949451","New York, New York",60221,24285
10002,"40.715952, -73.985870","New York, New York",84870,24022
10027,"40.811407, -73.953564","New York, New York",56168,23150
10026,"40.802320, -73.952943","New York, New York",30377,22491
10029,"40.792245, -73.945230","New York, New York",75390,22232
10030,"40.818492, -73.943283","New York, New York",25847,17970
10039,"40.826296, -73.937053","New York, New York",21737,17370
10035,"40.795487, -73.929501","New York, New York",32702,14896
10177,"40.755139, -73.975934","New York, New York",0,0
10271,"40.708236, -74.010541","New York, New York",0,0
10278,"40.715282, -74.004078","New York, New York",0,0
10279,"40.712626, -74.008669","New York, New York",0,0
10020,"40.758236, -73.978833","New York, New York",1,0
10041,"40.702868, -74.009835","New York, New York",0,0
10048,"40.711665, -74.012417","New York, New York",55,0
10103,"40.760780, -73.977670","New York, New York",0,0
10111,"40.759114, -73.977596","New York, New York",0,0
10112,"40.759167, -73.979668","New York, New York",0,0
10115,"40.810852, -73.963744","New York, New York",0,0
10119,"40.750310, -73.992979","New York, New York",0,0
10152,"40.758404, -73.972031","New York, New York",0,0
10153,"40.763622, -73.972439","New York, New York",0,0
10154,"40.757779, -73.972487","New York, New York",0,0
