Zip,Density,Population
10028,146955.30,46169
10128,132677.40,62447
10075,132095.70,24377
10025,129548.90,97373
10023,123875.90,60762
10040,120133.30,45278
10026,115461.70,38372
10162,110137.50,1252
10021,108864.60,42142
10030,105863.10,29530
10005,102965.20,7570
10009,100237.00,61806
10033,100108.60,60520
10003,98998.80,57068
10029,94363.10,77857
10016,94164.60,50112
10002,90849.30,79894
10031,90523.60,58912
10456,90074.70,91737
10032,89842.80,59069
11109,86656.00,4337
10453,85787.30,79002
11372,85703.20,63202
10065,82215.90,31761
10011,80408.90,52941
10010,78604.40,30708
10012,76855.10,24846
10452,76427.70,75252
11226,76237.10,98299
10458,75597.10,76276
10027,72357.30,63057
10038,70556.60,20997
10024,69066.60,59249
10037,68340.70,18041
11104,68090.00,26555
10022,68058.90,29699
10282,67476.60,5903
11225,67444.40,59613
10457,66913.80,71015
11219,66609.40,98719
10468,66519.90,72683
10472,66309.00,69659
11373,65936.50,100713
10280,63671.90,8817
11221,60559.10,83773
10459,59083.40,48269
11216,58197.90,54440
11206,57987.20,83180
11213,57520.90,62756
11212,57057.90,87751
10019,56986.10,38752
11220,56785.40,101715
10455,56097.40,39951
10039,56042.60,25952
10014,55901.70,31835
11237,55400.80,55258
10036,54427.50,24127
11103,53801.60,38257
10069,53018.60,5523
11218,52602.70,75132
11233,51663.60,69637
10462,51271.50,76114
11217,51150.50,38567
10017,50847.00,16278
11204,50567.50,80349
10044,49860.20,12050
10013,48772.70,26937
11355,48298.20,83799
11230,47323.00,87064
10451,47063.60,47818
11238,46994.10,51959
11205,45618.80,43320
10463,45091.80,71238
11374,44728.90,41792
10460,44604.30,58676
11106,44344.00,38633
11102,43215.00,35027
11419,42831.50,48370
10467,42589.30,99251
11368,41367.10,110385
10007,41282.40,6748
11210,40852.40,67042
11214,40359.90,88297
11211,39908.00,94681
13024,39701.20,1649
11201,39596.10,56488
11416,39018.00,25973
10034,37885.90,42672
11369,37337.70,39862
10454,37176.20,38751
11223,36953.70,76651
11229,36715.20,81351
10001,36638.70,22767
11435,35998.70,54523
11203,35892.50,77011
11375,35171.00,69652
11207,34994.60,93465
11377,34924.50,88939
10466,34477.30,69657
11209,33569.80,72582
11415,33477.10,19020
11421,33185.40,42745
11549,32301.30,2337
10006,32132.00,2950
11215,31902.90,70156
11228,31333.90,46059
11235,31000.30,75622
10469,29168.00,72241
11432,29032.70,62395
11417,28199.30,31556
11385,27472.60,100132
10473,27434.50,59948
11224,27032.20,42698
11236,26919.90,97714
11208,26694.60,92262
11354,25657.80,56433
11370,25497.30,36271
10018,25054.80,8062
10035,24895.70,34760
11428,24574.30,20461
10475,24496.20,44582
11433,24438.20,37927
11420,24139.50,50162
11231,23800.00,34605
11436,23620.50,18609
11232,22943.80,29452
11412,22891.50,37690
11423,22718.10,32053
11105,22559.50,36816
11418,22504.50,36751
11239,22228.30,12943
10461,21850.80,52435
11691,21824.80,62577
